Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales  ,month
1,CA-2017-152156,11/08/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Product ID,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96 ,Aug-2017
2,CA-2017-152156,12/08/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Product ID,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,Aug-2017
3,CA-2017-138688,13/08/2017,16/06/2017,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Product ID,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,Aug-2017
4,US-2016-108966,14/08/2017,16/06/2018,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Product ID,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,Aug-2017
5,US-2016-108966,15/08/2017,16/06/2019,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Product ID,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,Aug-2017
6,CA-2015-115812,16/08/2017,16/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,Aug-2017
7,CA-2015-115812,17/08/2017,16/06/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Office Supplies,Art,Newell 322,$7.28 ,Aug-2017
8,CA-2015-115812,18/08/2017,16/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,Aug-2017
9,CA-2015-115812,19/08/2017,16/06/2023,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,Aug-2017
10,CA-2015-115812,20/08/2017,16/06/2024,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,Aug-2017
11,CA-2015-115812,21/08/2017,16/06/2025,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",Aug-2017
12,CA-2015-115812,22/08/2017,16/06/2026,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Product ID,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,Aug-2017
13,CA-2018-114412,23/08/2017,16/06/2027,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Product ID,Office Supplies,Paper,Xerox 1967,$15.55 ,Aug-2017
14,CA-2017-161389,24/08/2017,16/06/2028,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Product ID,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,Aug-2017
